year,country,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2014,BRA,74.306,0.857834828724811,50.1764488220215,54.5510025,12071.4046547485,6.32904015516142
2013,BRA,73.918,0.868346150167205,47.0573692321777,51.04000092,12258.5648491717,6.204310666401
2012,BRA,73.552,0.900343360601223,45.1775398254395,48.56000137,12327.5155558345,5.40349914037009
2020,AUS,83.2,1.23570107988933,114.189888000488,89.59999847,51722.0690001531,0.846905537459293
2019,AUS,82.9,1.48520844681971,115.952041625977,88.59999847,54941.0657202842,1.61076787290379
2018,AUS,82.7487804878049,1.50299298221362,107.808052062988,87.59999847,57206.9906696898,1.91140094445692
2017,AUS,82.5,1.65339053503068,113.142158508301,86.54505157,53934.1543741253,1.94864740944522
2016,AUS,82.4487804878049,1.56194049810399,120.965713500977,86.54000092,49876.7123761245,1.27699094497328
2015,AUS,82.4,1.43921665259925,118.610862731934,84.56051636,56708.96119674,1.50836672165921
2020,ZAF,65.252,1.22317929511453,24.2362995147705,70.0,5741.64124877252,3.21003597454107
2019,ZAF,66.175,1.29507386292128,23.8665599822998,68.19999695,6688.77474649645,4.12024587014984
2018,ZAF,65.674,1.22553003994341,23.8019599914551,62.40000153,7048.50811239074,4.51716522786587
2017,ZAF,65.402,0.387278487857363,22.3660297393799,56.16739273,6734.47515312493,5.18424664766131
2016,ZAF,64.747,0.97200398206436,20.9184494018555,54.0,5735.06678717842,6.57139642173959
2015,ZAF,63.95,2.07401685853513,22.260929107666,51.91911697,6204.92990145846,4.54064227737914
2014,ZAF,63.38,1.57629422132566,19.8092403411865,49.0,6965.1378973693,6.12983770287145
2013,ZAF,62.533,1.36162110707575,19.9304904937744,46.5,7441.23085399675,5.78446909667191
2012,ZAF,61.846,1.32915852455183,19.1436595916748,41.0,8173.8691381716,5.72465791678303
2020,KOR,83.4268292682927,0.137869266247028,102.467361450195,96.50505829,31721.2980183057,0.537288023411772
2019,KOR,83.2268292682927,0.347874968577526,98.4461898803711,96.15757751,31902.4169048194,0.383000303608079
2018,KOR,82.6268292682927,0.433519027613049,95.8641510009766,96.02285767,33436.9230646064,1.47583935002643
2017,KOR,82.6268292682927,0.280968018301691,94.3496932983398,95.06941986,31616.8434004683,1.94433230786365
2016,KOR,82.2756097560976,0.396851823381145,94.0336227416992,92.84302521,29288.8704389833,0.97168573991219
2015,KOR,82.0243902439024,0.527288497407793,94.33984375,89.89625549,28732.2310762599,0.706331772455739
2014,KOR,81.7219512195122,0.628149861433639,94.85205078125,87.55682373,29249.5752209742,1.27477446401322
2013,KOR,81.2707317073171,0.455218622164662,95.608642578125,84.76999664,27182.7343101936,1.30134754547411
2012,KOR,80.819512195122,0.525713660600414,97.4275894165039,84.06999969,25466.7605170594,2.18707104433313
2020,IND,70.15,0.95522085775158,29.4413261413574,43.0,1913.21972103493,6.62343677628532
2019,IND,70.91,1.02531077187097,28.5728988647461,29.39999962,2050.16378973235,3.72950573539126
2018,IND,70.71,1.08752772157855,28.0605525970459,20.08130074,1974.37773014516,3.93882646691634
2017,IND,70.467,1.15562449067646,27.4421348571777,18.20000076,1957.96981368095,3.32817337461301
2016,IND,70.117,1.18504622906796,26.8292198181152,16.5,1714.2795405846,4.94821634062142
2015,IND,69.636,1.18779532005068,26.7689933776855,14.89999962,1590.17432166504,4.90697344127254
2014,IND,69.074,1.24036218382689,25.4321250915527,13.5,1559.86377161811,6.665656718679
2013,IND,68.46,1.29754883539168,23.7947120666504,12.30000019,1438.05699513067,10.0178784746103
2012,IND,67.887,1.33219204981494,24.2679805755615,11.10000038,1434.01797842656,9.47899691419793
2020,PHL,72.119,1.62663290469171,33.365306854248,49.79999924,3224.4228110466,2.39316239316241
2019,PHL,71.865,1.65518369204871,31.6224899291992,43.02661133,3413.8490672059,2.39206534422402
2018,PHL,71.689,1.70024776555145,29.5474815368652,44.09999847,3194.67270414955,5.30934661627714
2017,PHL,71.516,1.76102262001195,35.4754600524902,41.59999847,3077.43443152814,2.85318772590939
2016,PHL,71.387,1.77382446993613,40.4158668518066,39.20000076,3038.15204593606,1.25369880080986
2015,PHL,71.268,1.66983002094225,37.8000984191895,36.90000153,2974.29692047629,0.674192536845387
2014,PHL,71.151,1.6168406041295,35.6268920898438,34.70000076,2935.9285781194,3.5978234386421
2013,PHL,70.835,1.68695605708093,33.5227737426758,32.70000076,2847.56795417743,2.58268766141797
2012,PHL,70.881,1.74352515093364,31.2064762115479,30.79999924,2671.77753848888,3.02696391124798
2019,RUS,73.0839024390244,-0.0495686654330689,86.400146484375,82.64215851,11536.2587890625,4.47036660760175
2018,RUS,72.6621951219512,-0.0130668924933287,84.5842514038086,80.86472321,11287.3544921875,2.87829723647886
2017,RUS,72.4514634146342,0.106870569429971,81.909309387207,76.00814056,10720.33203125,3.68332944412231
2016,RUS,71.6512195121951,0.170245238698228,80.6326217651367,73.09143829,8704.89453125,7.04244762954798
2015,RUS,71.1834146341463,0.192557946508244,79.9381332397461,70.09924316,9313.021484375,15.5344050528404
2014,RUS,70.7436585365854,0.217642262118,78.4630966186523,70.51999664,14095.646484375,7.82341183865503
2013,RUS,70.5787804878049,0.212950704549247,77.8503189086914,67.97000122,15974.623046875,6.75371026220953
2012,RUS,70.0721951219512,0.168305035277726,75.9070892333984,66.0,15420.8583984375,5.0747430079915
2020,CHN,78.077,0.238040870229883,58.4201011657715,70.40477753,10408.7191247747,2.4194218945778
2019,CHN,77.968,0.354740890170827,53.7649116516113,64.10984039,10143.8602060373,2.89923416358227
2018,CHN,77.744,0.467672053461959,50.6044387817383,59.20000076,9905.4061175104,2.07479039965578
2017,CHN,77.248,0.605245013482969,49.0732612609863,54.29999924,8817.04549566316,1.59313600071434
2016,CHN,77.218,0.573050906069647,48.0190200805664,53.20000076,8094.39037512163,2.00000182191941
2015,CHN,76.977,0.581456146657648,46.0404281616211,50.29999924,8016.44601585644,1.43702380935655
2014,CHN,76.717,0.630326389541893,42.4307289123535,47.90000153,7636.07422276004,1.92164162788521
2013,CHN,76.452,0.666072977690069,32.4336700439453,45.79999924,7020.38568208449,2.62105001748115
2012,CHN,76.192,0.678345458846803,28.7256698608398,42.30011749,6300.58235236313,2.61952432645544
