year,country,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2013,SWE,81.9560975609756,0.847348652246305,63.2171592712402,94.78359985,61126.9431963979,-0.0442929701486557
2012,SWE,81.7048780487805,0.739763272434863,68.8176498413086,93.17998505,58037.8213192173,0.8883775069237
2020,ESP,82.3317073170732,0.488502131838585,95.9648666381836,93.20565033,26959.6754367322,-0.322753017299705
2019,ESP,83.8317073170732,0.717715637103499,92.8823471069336,90.71866608,29581.5185513293,0.699518994458693
2018,ESP,83.4317073170732,0.437982993728698,91.1125717163086,86.10723877,30379.7211126417,1.67498136863794
2017,ESP,83.2829268292683,0.234587922968563,88.8530120849609,84.60224915,28185.3213671972,1.95607633363964
2016,ESP,83.3292682926829,0.0844301500680736,86.5160827636719,80.5613327,26537.1594894549,-0.202598000426425
2015,ESP,82.8317073170732,-0.077588861590047,85.6117782592773,78.6896286,25754.36102944,-0.500365709903282
2014,ESP,83.2292682926829,-0.298951059088036,85.4462738037109,76.19000244,29513.65118004,-0.151114837527181
2013,ESP,83.0780487804878,-0.327669039579687,83.7256393432617,71.63500214,29077.1820557566,1.40858109183012
2012,ESP,82.4268292682927,0.0649259625617232,82.2703323364258,69.80999756,28322.9465923276,2.44612782366812
2013,PRY,72.757,1.38035856649557,1.41728186607361,36.90000153,6435.82655022784,2.68385738718593
2012,PRY,72.454,1.34923843816846,1.41800606250763,29.34000015,5621.24402638513,3.6759189797449
2020,URY,78.43,0.0197448194187447,67.8832092285156,86.09999847,15650.4994274155,9.75640636078194
2019,URY,77.508,0.0398806735871464,65.1568603515625,83.35153198,18098.361548609,7.88198870879623
2018,URY,77.611,0.141387931879728,63.6724090576172,80.72684479,19026.04961089,7.60653360377041
2017,URY,77.625,0.24675383930737,63.1257705688477,70.32235718,18995.3970195554,6.21809382561863
2016,URY,77.571,0.32121688556848,62.5445709228516,66.40000153,16837.9403803049,9.63941347635073
2015,URY,77.483,0.328384512874787,59.6962203979492,64.57078552,16950.7533762432,8.66626987079339
2014,URY,77.366,0.309530574282718,60.7204895019531,61.45999908,18131.5788465661,8.87735333229825
2013,URY,77.24,0.297587135386814,59.8736305236816,57.68999863,18140.8919180672,8.57513504005395
2019,SLV,72.559,0.0617207329334854,29.9244194030762,50.49119186,4280.28840404719,0.0753241350024327
2018,SLV,72.555,0.154476680476382,29.3719291687012,43.79999924,4145.86235103186,1.09033000581896
2017,SLV,72.311,0.257949946994399,28.5862903594971,33.8207283,3986.04901435439,1.01235403315573
2016,SLV,72.025,0.311563471293443,27.9180908203125,28.99707222,3870.31298246063,0.604049086996682
2015,SLV,71.814,0.346286117647337,27.9700508117676,26.80260468,3761.51368000275,-0.731384487387986
2014,SLV,71.746,0.385376455719377,27.8673896789551,24.76171303,3638.51765819162,1.1413446753823
2013,SLV,71.771,0.394479107083525,28.3520793914795,23.10930061,3555.16209958481,0.7576691845229
2012,SLV,71.831,0.389311893511473,28.0211906433105,20.32138824,3471.05126865498,1.72973481581381
2017,PER,75.879,1.50694618507609,70.7378616333008,50.45041275,6676.3077877014,2.99490045809446
2016,PER,75.789,1.36122543775229,71.1329879760742,45.4617424,6163.86117862599,3.55717663556281
2012,PER,74.544,0.918055908591097,34.2994117736816,38.20000076,6475.71941703429,3.61121294940175
2020,MEX,70.133,0.727243815691995,44.8085899353027,71.96819305,8654.99732516958,3.39683415569999
2019,MEX,74.202,0.860265089734684,42.8306999206543,70.06990814,10145.1526279593,3.6359614212705
2018,MEX,74.015,0.951668643927897,41.5228004455566,65.77263641,9857.00748742213,4.89935015356549
2017,MEX,74.138,1.08042073770937,40.2289581298828,63.85224915,9434.37817948243,6.04145724018992
2016,MEX,74.412,1.13323428792033,38.4333801269531,59.54044724,8875.08206876137,2.82170784747653
2015,MEX,74.682,1.16700884975484,31.8190402984619,57.43104172,9753.40056232226,2.7206406496403
2014,MEX,74.797,1.2414667155537,31.0941390991211,44.38999939,11076.1341141975,4.01861608078673
2013,MEX,74.739,1.317160792789,30.3000392913818,43.45999908,10865.6872912453,3.80639069747207
2012,MEX,74.574,1.39661546186197,29.4718399047852,39.75,10376.0904951074,4.11150981070293
2020,ECU,72.153,1.40190462603926,52.5878105163574,64.59999847,5645.19928965332,-0.338872392562274
2019,ECU,77.297,1.90968326333656,47.9452285766602,61.59999847,6233.25816692363,0.266012515466136
2018,ECU,77.094,1.89090930713133,47.597770690918,57.5,6321.34940071717,-0.224103246005465
2015,ECU,76.789,1.47983523757956,44.8922309875488,48.9404335,6130.58667556768,3.96664623255354
2013,ECU,76.369,1.5324232376039,40.3224487304688,40.2791214,6050.3546113274,2.72177577710365
2012,ECU,76.062,1.60252187198822,39.8166694641113,35.13514709,5678.45572070003,5.1017218095867
2020,CHL,79.377,1.36064363430941,91.6693496704102,88.30000305,13165.3863429858,3.04549084804331
2019,CHL,80.326,1.7913919716665,93.1011276245117,86.09999847,14627.14501648,2.55754475703323
2018,CHL,80.133,1.79596279901203,90.8963088989258,84.90000153,15795.7081412484,2.43488981353058
