country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
ITA,2012,84.8,82.2390243902439,79.8,68.684,31.316,0.269541239520996,3.04136333226773,1.54730144037734,2086957656821.6,35051.5212697703,-3.24206011995115,2084406708913.59,1.42692488876226,413385894330.469,100.0,7.86289588179375,103.52,61.298658972307,64.1335525512695
ITA,2011,84.8,82.1878048780488,79.7,68.444,31.556,0.171978290995717,2.78063272879324,1.60717698349345,2294994296589.51,38649.6394836792,0.534287439584816,2289189703989.32,1.47595659708976,454776836322.961,100.0,7.61678553966042,107.84,61.1164673385834,65.563117980957
ITA,2010,84.7,82.0365853658537,79.5,68.327,31.673,0.30759122234095,1.52551602118248,0.436360537541674,2136099955236.72,36035.6449950699,1.40091534299962,2131574091108.39,1.50049457592519,439032285633.345,100.0,7.8344510891807,108.58,60.7253031348877,65.774299621582
ITA,2009,84.3,81.6365853658537,79.1,68.209,31.791,0.455613449577732,0.774768131387384,1.67883895982297,2199928804118.63,37226.7571935402,-5.71150838276657,2198543924651.95,1.55421070227095,454915260806.64,100.0,8.21988690662962,112.32,60.433053380875,66.5499725341797
ITA,2008,84.2,81.4853658536585,78.9,68.092,31.908,0.662469252941527,3.34783258401023,2.40070344440197,2408655348718.59,40944.9124194678,-1.61594062742927,2386641522088.98,1.53567479652557,471131511571.094,100.0,6.89478175406268,112.33,59.428873210798,66.3435974121094
ITA,2007,84.2,81.4341463414634,78.8,67.974,32.026,0.504933687397673,1.829741122024,2.47899476586151,2213102482751.46,37870.7475070969,0.975922132963376,2214810509531.73,1.44705251876997,421101305197.648,100.0,6.38690736568451,109.17,59.0656856488179,66.6829681396484
ITA,2006,84.1,81.2829268292683,78.6,67.856,32.144,0.30055968851778,2.09084391012755,2.12485391464755,1949551719389.64,33529.7266014361,1.48515735957702,1957286082582.7,1.52134332564687,379846267291.764,100.0,6.34746239631284,110.56,59.3798118203877,66.1078033447266
ITA,2005,83.6,80.7829268292683,78.1,67.738,32.262,0.491389107503214,1.98529298527983,2.01055790083582,1858217147203.73,32055.0920757503,0.323656244406962,1861136280618.83,1.60096876399271,364479883007.004,100.0,6.5084562189744,115.37,59.3149612894125,64.4384307861328
ITA,2004,83.7,80.7804878048781,78.0,67.62,32.38,0.647182705470772,2.20673661423654,2.67018368106109,1806542968545.56,31317.2007943296,0.769317663351927,1803554244449.46,1.68267326961679,346122039106.179,100.0,6.46794363343805,119.09,58.9888722794372,62.2429809570313
ITA,2003,82.8,79.9829268292683,77.3,67.501,32.499,0.444507312655549,2.67255552772852,3.1478079285654,1577621707050.51,27526.3224609957,-0.305508789463317,1570015784573.64,1.70899553724228,299360466623.921,100.0,6.80293961759602,105.8,59.3896564491746,58.6772193908691
