country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)",Gini index,"Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Current health expenditure (% of GDP),"Hospital beds (per 1,000 people)",Domestic private health expenditure per capita (current US$),Current health expenditure per capita (current US$),"Mortality caused by road traffic injury (per 100,000 population)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),"Literacy rate, adult total (% of people ages 15 and above)",Control of Corruption: Estimate,Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Internet Users(%)
AUS,2010,84.0,81.6951219512195,79.5,85.182,14.818,1.55570626204128,2.91834002677376,34.7,1.15782618940531,1148569537284.62,52132.469607935,0.628836598169386,1104046312863.32,8.42325497,3.78,1375.35565445,4975.47119141,6.5,99.9957392296434,,,2.02361083030701,1.85292825768668,215421801802.017,100.0,10.5858043528421,86.41,55.3794160658949,,,76.0
AUS,2009,83.9,81.5439024390244,79.3,85.063,14.937,2.06083316277243,1.77111716621252,,4.99930501098378,928629769751.884,42810.4658391817,-0.207409289676164,896090277391.314,8.55233955,3.77,1082.79886763,4011.93286133,7.1,99.9952408737194,,,2.04176306724548,1.92393833394007,170437141488.204,100.0,12.9946113610458,86.76,53.9984983282604,,,74.25
AUS,2008,83.7,81.3951219512195,79.2,84.943,15.057,2.00391140524272,4.35029854990047,35.4,4.61674273676633,1055686110665.53,49681.2190739771,1.51351019988101,1012593026422.3,8.25374031,3.82,1136.4138646,4107.01269531,7.1,99.9947425177954,,,2.0273425579071,1.79668808931838,190255792351.969,100.0,11.5441905002196,80.9,55.9138635953095,,,71.66999817
AUS,2007,83.7,81.2926829268293,79.0,84.822,15.178,1.82499679529254,2.32761128891476,,4.98168605986847,854427259166.209,41023.7548562293,1.90115067736041,816375912695.297,8.05890179,,1033.71968132,3815.33642578,7.9,99.9942441618714,,,2.00087285041809,1.81227323422698,154696553348.512,100.0,12.6320403030855,76.45,56.0165361247616,,,69.44999695
AUS,2006,83.5,81.0414634146342,78.7,84.7,15.3,1.34945083098893,3.55528773727028,,5.11737711458915,747907432136.598,36570.7630699009,1.36351402929009,718847799523.168,7.98143196,3.93,904.98656263,3194.03076172,8.0,99.9937458059473,,,1.95081317424774,1.82233092604478,136414504895.493,100.0,14.5343437897045,90.96,56.0906753802167,,,66.0
AUS,2005,83.3,80.8414634146341,78.5,84.582,15.418,1.21729073052406,2.69183168316831,,3.82436039577365,695305000206.729,34460.5429970479,1.90568336819068,669544332059.132,7.97402954,3.9,848.84774751,3014.10498047,8.3,99.9932474500233,,,1.94266772270203,1.80249267959937,127407357291.326,100.0,16.1321568548701,87.28,56.917526375083,,,63.0
AUS,2004,83.0,80.490243902439,78.1,84.463,15.537,1.06919812205752,2.34325522482587,33.1,3.23706174014373,614326362213.686,30819.9934867745,3.10828675546351,596843790012.804,8.09003353,4.0,781.67108378,2760.83081055,8.2,99.9927490940993,,,2.00586891174316,1.82741076940486,112080665813.06,100.0,20.7204182561256,89.97,57.3636553113638,,,0.0
AUS,2003,82.8,80.2390243902439,77.8,84.343,15.657,1.15019273319182,2.73259596616783,33.5,2.96793754610954,467497961560.862,23705.9072163917,1.9322128506921,454347699475.83,7.88292599,3.97,642.16980798,2240.74609375,8.5,99.9922507381752,,,1.89528703689575,1.84628968871455,85809551543.3896,100.0,18.2709640627415,73.45,57.7829160302681,,,0.0
AUS,2002,82.6,79.9365853658537,77.4,84.222,15.778,1.1375387361946,2.98157453936349,,2.84406455501225,395573025330.447,20290.7804189053,2.81732541280495,384845420833.361,7.87807608,3.93,494.9337079,1763.69580078,9.1,99.9917523822512,,,1.76143634319305,1.87396462061393,72351552331.9315,100.0,20.7996640502923,88.75,57.2848575593161,,,0.0
AUS,2001,82.4,79.6341463414634,77.0,84.1,15.9,1.28396809127349,4.4071353620147,33.5,4.62033341466255,379357823192.53,19681.6450326534,0.739613357802241,368736924674.497,7.68272257,3.95,450.65607972,1559.82128906,9.3,99.9912540263272,,,,1.87009387891872,70090095085.9583,100.0,20.5933416064631,87.19,58.028479436862,,,52.6892662
AUS,2000,82.0,79.2341463414634,76.6,84.235,15.765,1.14447285147721,4.45743514797225,,2.56038355183502,415844972940.496,21853.4499933573,2.71882936967131,403854952064.303,7.59961653,4.04,460.90662697,1636.52868652,9.9,99.9907556704031,,,1.86208832263947,1.82984191251005,76805340621.0731,100.0,19.7329920353743,87.03,57.4161833997825,,,46.75611496
AUS,1999,81.8,78.9317073170732,76.2,84.37,15.63,1.09397580294231,1.48312940304038,,0.479338835084704,389389647825.542,20698.7127028167,3.81438537004641,377238375736.308,,7.9000000954,,,,,,,,1.88923574072912,72717759117.6839,100.0,23.0979399459233,84.2,57.6037837872634,,,40.78378296
AUS,1998,81.5,78.6317073170732,75.9,84.503,15.497,0.996734717801419,0.860134629768157,,1.1871334180781,399660855999.457,21478.3851573346,3.57581858683417,387069117547.311,,8.1999998093,,,,,,,1.79812967777252,1.87112181310612,72975649460.761,100.0,20.2460021888008,79.1,56.973286718034,,,30.81324005
AUS,1997,81.4,78.4804878048781,75.7,84.636,15.364,1.0820399195962,0.224887556221881,,1.27431053585624,435613768959.97,23645.0574875342,2.79451834154317,420990216269.869,,8.3000001907,,,,,,,,1.86733439499343,79564773354.2371,100.0,22.9599301473084,78.74,56.6033329261194,1.06464004516602,80.9066467285156,16.36935806
AUS,1996,81.1,78.0780487804878,75.2,84.767,15.233,1.21385498322201,2.61538461538462,,2.71749386408476,401310823652.743,22020.0797987016,2.60379028051277,387127221088.0,,8.5,,,,,,,1.8773558139801,1.93044006740518,74556857260.4597,100.0,23.096554089928,71.97,57.0839509347208,1.05820000171661,75.6477813720703,3.275249958
AUS,1995,80.8,77.8292682926829,75.0,84.898,15.102,1.11373422085118,4.62776659959758,32.6,2.2800906229738,368140778140.778,20446.7198474713,2.73649928553792,355461835461.835,,8.6999998093,,,,,,,,2.02131256804327,68605583605.5836,100.0,20.5204322955242,64.4,57.3314078723387,1.04298996925354,70.6885681152344,2.759654522
AUS,1994,80.9,77.8780487804878,75.0,85.028,14.972,0.963092494678111,1.96963479688142,,1.01778417916596,322809408509.166,18129.7907198601,2.98429779522998,315714285714.286,,8.6999998093,,,,,,,,2.11659858893427,60729159460.3943,100.0,23.0716504200323,70.42,57.1725233112097,1.0101900100708,66.9792175292969,2.232101202
